issue_time,target_time,lead_hour,power_pred,accepted
2026-01-31T00:00:00+00:00,2026-01-31T00:00:00+00:00,1,0.8540886293108709,True
2026-01-31T00:00:00+00:00,2026-01-31T01:00:00+00:00,2,0.8624206964778275,True
2026-01-31T00:00:00+00:00,2026-01-31T02:00:00+00:00,3,0.834526708679426,True
2026-01-31T00:00:00+00:00,2026-01-31T03:00:00+00:00,4,0.8096411433716847,True
2026-01-31T00:00:00+00:00,2026-01-31T04:00:00+00:00,5,0.8807549293893072,True
2026-01-31T00:00:00+00:00,2026-01-31T05:00:00+00:00,6,0.9434179559394142,True
2026-01-31T00:00:00+00:00,2026-01-31T06:00:00+00:00,7,0.9509213841377,True
2026-01-31T00:00:00+00:00,2026-01-31T07:00:00+00:00,8,0.9502454165625742,True
2026-01-31T00:00:00+00:00,2026-01-31T08:00:00+00:00,9,0.9795712547189899,True
2026-01-31T00:00:00+00:00,2026-01-31T09:00:00+00:00,10,0.9685397614844206,True
2026-01-31T00:00:00+00:00,2026-01-31T10:00:00+00:00,11,0.8797762083360052,True
2026-01-31T00:00:00+00:00,2026-01-31T11:00:00+00:00,12,0.8095707076956754,True
2026-01-31T00:00:00+00:00,2026-01-31T12:00:00+00:00,13,0.5672862226868719,True
2026-01-31T00:00:00+00:00,2026-01-31T13:00:00+00:00,14,0.22929002862382467,True
2026-01-31T00:00:00+00:00,2026-01-31T14:00:00+00:00,15,0.13023108694798163,True
2026-01-31T00:00:00+00:00,2026-01-31T15:00:00+00:00,16,0.07105769667257404,True
2026-01-31T00:00:00+00:00,2026-01-31T16:00:00+00:00,17,0.016490885023494797,True
2026-01-31T00:00:00+00:00,2026-01-31T17:00:00+00:00,18,0.00972316504921677,True
2026-01-31T00:00:00+00:00,2026-01-31T18:00:00+00:00,19,0.002544862399313386,True
2026-01-31T00:00:00+00:00,2026-01-31T19:00:00+00:00,20,0.0,True
2026-01-31T00:00:00+00:00,2026-01-31T20:00:00+00:00,21,0.028681539168439154,True
2026-01-31T00:00:00+00:00,2026-01-31T21:00:00+00:00,22,0.030708912444753354,True
2026-01-31T00:00:00+00:00,2026-01-31T22:00:00+00:00,23,0.03760837514543289,True
2026-01-31T00:00:00+00:00,2026-01-31T23:00:00+00:00,24,0.02878038171718807,True
2026-01-31T00:00:00+00:00,2026-02-01T00:00:00+00:00,25,0.02110070256413989,True
2026-01-31T00:00:00+00:00,2026-02-01T01:00:00+00:00,26,0.04351633230989632,True
2026-01-31T00:00:00+00:00,2026-02-01T02:00:00+00:00,27,0.08322425620524776,True
2026-01-31T00:00:00+00:00,2026-02-01T03:00:00+00:00,28,0.11838545209327905,True
2026-01-31T00:00:00+00:00,2026-02-01T04:00:00+00:00,29,0.11022782860071685,True
2026-01-31T00:00:00+00:00,2026-02-01T05:00:00+00:00,30,0.17551444768795374,True
2026-01-31T00:00:00+00:00,2026-02-01T06:00:00+00:00,31,0.24108993585338998,True
2026-01-31T00:00:00+00:00,2026-02-01T07:00:00+00:00,32,0.29587594623039387,True
2026-01-31T00:00:00+00:00,2026-02-01T08:00:00+00:00,33,0.5031594455405578,True
2026-01-31T00:00:00+00:00,2026-02-01T09:00:00+00:00,34,0.5210596322794598,True
2026-01-31T00:00:00+00:00,2026-02-01T10:00:00+00:00,35,0.3641602724287467,True
2026-01-31T00:00:00+00:00,2026-02-01T11:00:00+00:00,36,0.38012873515268797,True
2026-01-31T00:00:00+00:00,2026-02-01T12:00:00+00:00,37,0.31337911219165576,True
2026-01-31T00:00:00+00:00,2026-02-01T13:00:00+00:00,38,0.3241069670594378,True
2026-01-31T00:00:00+00:00,2026-02-01T14:00:00+00:00,39,0.3387133093771483,True
2026-01-31T00:00:00+00:00,2026-02-01T15:00:00+00:00,40,0.3830522678877766,True
2026-01-31T00:00:00+00:00,2026-02-01T16:00:00+00:00,41,0.24529698488864005,True
2026-01-31T00:00:00+00:00,2026-02-01T17:00:00+00:00,42,0.20976480750090598,True
2026-01-31T00:00:00+00:00,2026-02-01T18:00:00+00:00,43,0.1854466600517571,True
2026-01-31T00:00:00+00:00,2026-02-01T19:00:00+00:00,44,0.180412611797225,True
2026-01-31T00:00:00+00:00,2026-02-01T20:00:00+00:00,45,0.24493945830430702,True
2026-01-31T00:00:00+00:00,2026-02-01T21:00:00+00:00,46,0.4007724569925629,True
2026-01-31T00:00:00+00:00,2026-02-01T22:00:00+00:00,47,0.4853747930447879,True
2026-01-31T00:00:00+00:00,2026-02-01T23:00:00+00:00,48,0.555183347279737,True
2026-02-01T00:00:00+00:00,2026-02-01T00:00:00+00:00,1,0.07702573932364648,True
2026-02-01T00:00:00+00:00,2026-02-01T01:00:00+00:00,2,0.07914199025517729,True
2026-02-01T00:00:00+00:00,2026-02-01T02:00:00+00:00,3,0.10578530447689947,True
2026-02-01T00:00:00+00:00,2026-02-01T03:00:00+00:00,4,0.09479937679018695,True
2026-02-01T00:00:00+00:00,2026-02-01T04:00:00+00:00,5,0.11869991376685195,True
2026-02-01T00:00:00+00:00,2026-02-01T05:00:00+00:00,6,0.10012000118451536,True
2026-02-01T00:00:00+00:00,2026-02-01T06:00:00+00:00,7,0.1249464902718624,True
2026-02-01T00:00:00+00:00,2026-02-01T07:00:00+00:00,8,0.18961334364872665,True
2026-02-01T00:00:00+00:00,2026-02-01T08:00:00+00:00,9,0.25030929497645943,True
2026-02-01T00:00:00+00:00,2026-02-01T09:00:00+00:00,10,0.22002563573464928,True
2026-02-01T00:00:00+00:00,2026-02-01T10:00:00+00:00,11,0.21902199591429913,True
