issue_time,target_time,target_time_local,lead_hour,power_pred
2026-01-31,2026-01-31 00:00:00,2026-01-31 06:00:00,1,0.8542135152642178
2026-01-31,2026-01-31 01:00:00,2026-01-31 07:00:00,2,0.8616243515736205
2026-01-31,2026-01-31 02:00:00,2026-01-31 08:00:00,3,0.8289104572757149
2026-01-31,2026-01-31 03:00:00,2026-01-31 09:00:00,4,0.8287799519204756
2026-01-31,2026-01-31 04:00:00,2026-01-31 10:00:00,5,0.8959325622983267
2026-01-31,2026-01-31 05:00:00,2026-01-31 11:00:00,6,0.9446744657984967
2026-01-31,2026-01-31 06:00:00,2026-01-31 12:00:00,7,0.9324949776099818
2026-01-31,2026-01-31 07:00:00,2026-01-31 13:00:00,8,0.9640273057275242
2026-01-31,2026-01-31 08:00:00,2026-01-31 14:00:00,9,0.974473207180308
2026-01-31,2026-01-31 09:00:00,2026-01-31 15:00:00,10,0.9691518530337723
2026-01-31,2026-01-31 10:00:00,2026-01-31 16:00:00,11,0.8915260430528851
2026-01-31,2026-01-31 11:00:00,2026-01-31 17:00:00,12,0.8121947147736852
2026-01-31,2026-01-31 12:00:00,2026-01-31 18:00:00,13,0.5556275104670798
2026-01-31,2026-01-31 13:00:00,2026-01-31 19:00:00,14,0.23958313316317417
2026-01-31,2026-01-31 14:00:00,2026-01-31 20:00:00,15,0.1367352750144655
2026-01-31,2026-01-31 15:00:00,2026-01-31 21:00:00,16,0.07617616166450428
2026-01-31,2026-01-31 16:00:00,2026-01-31 22:00:00,17,0.020813423691065595
2026-01-31,2026-01-31 17:00:00,2026-01-31 23:00:00,18,0.0012440481851428925
2026-01-31,2026-01-31 18:00:00,2026-02-01 00:00:00,19,0.004392438045567999
2026-01-31,2026-01-31 19:00:00,2026-02-01 01:00:00,20,0.00028315619993187456
2026-01-31,2026-01-31 20:00:00,2026-02-01 02:00:00,21,0.00570262727550416
2026-01-31,2026-01-31 21:00:00,2026-02-01 03:00:00,22,0.01557617552212651
2026-01-31,2026-01-31 22:00:00,2026-02-01 04:00:00,23,0.03374675217121733
2026-01-31,2026-01-31 23:00:00,2026-02-01 05:00:00,24,0.024560401929364074
2026-01-31,2026-02-01 00:00:00,2026-02-01 06:00:00,25,0.015584402691383257
2026-01-31,2026-02-01 01:00:00,2026-02-01 07:00:00,26,0.02873547784974762
2026-01-31,2026-02-01 02:00:00,2026-02-01 08:00:00,27,0.06696162618972704
2026-01-31,2026-02-01 03:00:00,2026-02-01 09:00:00,28,0.11325524780160276
2026-01-31,2026-02-01 04:00:00,2026-02-01 10:00:00,29,0.09471650356914889
2026-01-31,2026-02-01 05:00:00,2026-02-01 11:00:00,30,0.16731644445154606
2026-01-31,2026-02-01 06:00:00,2026-02-01 12:00:00,31,0.24658593829480627
2026-01-31,2026-02-01 07:00:00,2026-02-01 13:00:00,32,0.31807717654710127
2026-01-31,2026-02-01 08:00:00,2026-02-01 14:00:00,33,0.5092279065340236
2026-01-31,2026-02-01 09:00:00,2026-02-01 15:00:00,34,0.5133294642881794
2026-01-31,2026-02-01 10:00:00,2026-02-01 16:00:00,35,0.35533909540282005
2026-01-31,2026-02-01 11:00:00,2026-02-01 17:00:00,36,0.37396791717910116
2026-01-31,2026-02-01 12:00:00,2026-02-01 18:00:00,37,0.32275865609106463
2026-01-31,2026-02-01 13:00:00,2026-02-01 19:00:00,38,0.33924283551625417
2026-01-31,2026-02-01 14:00:00,2026-02-01 20:00:00,39,0.3483992684590473
2026-01-31,2026-02-01 15:00:00,2026-02-01 21:00:00,40,0.3819631878980528
2026-01-31,2026-02-01 16:00:00,2026-02-01 22:00:00,41,0.2465608225534682
2026-01-31,2026-02-01 17:00:00,2026-02-01 23:00:00,42,0.22882074815170153
2026-01-31,2026-02-01 18:00:00,2026-02-02 00:00:00,43,0.20321540101066962
2026-01-31,2026-02-01 19:00:00,2026-02-02 01:00:00,44,0.20460300414415714
2026-01-31,2026-02-01 20:00:00,2026-02-02 02:00:00,45,0.2706751247748655
2026-01-31,2026-02-01 21:00:00,2026-02-02 03:00:00,46,0.3993880528551894
2026-01-31,2026-02-01 22:00:00,2026-02-02 04:00:00,47,0.4765920118435094
2026-01-31,2026-02-01 23:00:00,2026-02-02 05:00:00,48,0.5708237560704904
2026-02-01,2026-02-01 00:00:00,2026-02-01 06:00:00,1,0.07560965575777367
2026-02-01,2026-02-01 01:00:00,2026-02-01 07:00:00,2,0.07924392598517999
2026-02-01,2026-02-01 02:00:00,2026-02-01 08:00:00,3,0.08609590365281666
2026-02-01,2026-02-01 03:00:00,2026-02-01 09:00:00,4,0.09662568490276177
2026-02-01,2026-02-01 04:00:00,2026-02-01 10:00:00,5,0.1146294047400948
2026-02-01,2026-02-01 05:00:00,2026-02-01 11:00:00,6,0.09875472476446376
2026-02-01,2026-02-01 06:00:00,2026-02-01 12:00:00,7,0.14119397161438244
2026-02-01,2026-02-01 07:00:00,2026-02-01 13:00:00,8,0.21515218161687474
2026-02-01,2026-02-01 08:00:00,2026-02-01 14:00:00,9,0.26075585349609065
2026-02-01,2026-02-01 09:00:00,2026-02-01 15:00:00,10,0.23201573793601757
2026-02-01,2026-02-01 10:00:00,2026-02-01 16:00:00,11,0.21660663634133412
2026-02-01,2026-02-01 11:00:00,2026-02-01 17:00:00,12,0.19438982086580617
2026-02-01,2026-02-01 12:00:00,2026-02-01 18:00:00,13,0.19871665437512506
2026-02-01,2026-02-01 13:00:00,2026-02-01 19:00:00,14,0.22141761933962764
2026-02-01,2026-02-01 14:00:00,2026-02-01 20:00:00,15,0.26290063490956034
2026-02-01,2026-02-01 15:00:00,2026-02-01 21:00:00,16,0.26570430028355624
2026-02-01,2026-02-01 16:00:00,2026-02-01 22:00:00,17,0.3795160158026103
2026-02-01,2026-02-01 17:00:00,2026-02-01 23:00:00,18,0.3252907173378644
2026-02-01,2026-02-01 18:00:00,2026-02-02 00:00:00,19,0.3214159852105273
2026-02-01,2026-02-01 19:00:00,2026-02-02 01:00:00,20,0.381663693740127
2026-02-01,2026-02-01 20:00:00,2026-02-02 02:00:00,21,0.43402539247008426
2026-02-01,2026-02-01 21:00:00,2026-02-02 03:00:00,22,0.5319949258655247
2026-02-01,2026-02-01 22:00:00,2026-02-02 04:00:00,23,0.53475420970516
2026-02-01,2026-02-01 23:00:00,2026-02-02 05:00:00,24,0.4914658244338612
2026-02-01,2026-02-02 00:00:00,2026-02-02 06:00:00,25,0.4605889000705527
2026-02-01,2026-02-02 01:00:00,2026-02-02 07:00:00,26,0.4333894008626503
2026-02-01,2026-02-02 02:00:00,2026-02-02 08:00:00,27,0.47778334243597514
2026-02-01,2026-02-02 03:00:00,2026-02-02 09:00:00,28,0.5342575023641787
2026-02-01,2026-02-02 04:00:00,2026-02-02 10:00:00,29,0.6913828688315989
2026-02-01,2026-02-02 05:00:00,2026-02-02 11:00:00,30,0.7957239908578093
2026-02-01,2026-02-02 06:00:00,2026-02-02 12:00:00,31,0.8397290652999474
2026-02-01,2026-02-02 07:00:00,2026-02-02 13:00:00,32,0.8758739468974239
2026-02-01,2026-02-02 08:00:00,2026-02-02 14:00:00,33,0.8855627520525469
2026-02-01,2026-02-02 09:00:00,2026-02-02 15:00:00,34,0.8871182793861436
2026-02-01,2026-02-02 10:00:00,2026-02-02 16:00:00,35,0.8585364773370214
2026-02-01,2026-02-02 11:00:00,2026-02-02 17:00:00,36,0.7335937278246172
2026-02-01,2026-02-02 12:00:00,2026-02-02 18:00:00,37,0.4073953367886999
2026-02-01,2026-02-02 13:00:00,2026-02-02 19:00:00,38,0.2760051814534998
2026-02-01,2026-02-02 14:00:00,2026-02-02 20:00:00,39,0.19846303890145936
2026-02-01,2026-02-02 15:00:00,2026-02-02 21:00:00,40,0.17203946829662123
2026-02-01,2026-02-02 16:00:00,2026-02-02 22:00:00,41,0.06094862034281695
2026-02-01,2026-02-02 17:00:00,2026-02-02 23:00:00,42,0.06218625034458172
2026-02-01,2026-02-02 18:00:00,2026-02-03 00:00:00,43,0.06823454849867369
2026-02-01,2026-02-02 19:00:00,2026-02-03 01:00:00,44,0.0668270618607164
2026-02-01,2026-02-02 20:00:00,2026-02-03 02:00:00,45,0.06298779368645638
2026-02-01,2026-02-02 21:00:00,2026-02-03 03:00:00,46,0.07249949315597616
2026-02-01,2026-02-02 22:00:00,2026-02-03 04:00:00,47,0.10206069657170223
2026-02-01,2026-02-02 23:00:00,2026-02-03 05:00:00,48,0.15662636015977924
2026-02-02,2026-02-02 00:00:00,2026-02-02 06:00:00,1,0.5679725727174922
2026-02-02,2026-02-02 01:00:00,2026-02-02 07:00:00,2,0.506153239214172
2026-02-02,2026-02-02 02:00:00,2026-02-02 08:00:00,3,0.5352787207929831
2026-02-02,2026-02-02 03:00:00,2026-02-02 09:00:00,4,0.5963349416630294
2026-02-02,2026-02-02 04:00:00,2026-02-02 10:00:00,5,0.6744507533580668
2026-02-02,2026-02-02 05:00:00,2026-02-02 11:00:00,6,0.8110645228346075
2026-02-02,2026-02-02 06:00:00,2026-02-02 12:00:00,7,0.8561447684983144
2026-02-02,2026-02-02 07:00:00,2026-02-02 13:00:00,8,0.9049536667910438
2026-02-02,2026-02-02 08:00:00,2026-02-02 14:00:00,9,0.9213325515307262
2026-02-02,2026-02-02 09:00:00,2026-02-02 15:00:00,10,0.9505095142449985
2026-02-02,2026-02-02 10:00:00,2026-02-02 16:00:00,11,0.9542658210069107
2026-02-02,2026-02-02 11:00:00,2026-02-02 17:00:00,12,0.884041570236782
2026-02-02,2026-02-02 12:00:00,2026-02-02 18:00:00,13,0.569464380422545
2026-02-02,2026-02-02 13:00:00,2026-02-02 19:00:00,14,0.2649955496946939
2026-02-02,2026-02-02 14:00:00,2026-02-02 20:00:00,15,0.16519456769362786
