target_time,target_time_local,power_pred,issue_time
2026-01-31T18:00:00+00:00,2026-02-01T00:00:00+06:00,0.002544862399313386,2026-01-31T00:00:00+00:00
2026-01-31T19:00:00+00:00,2026-02-01T01:00:00+06:00,0.0,2026-01-31T00:00:00+00:00
2026-01-31T20:00:00+00:00,2026-02-01T02:00:00+06:00,0.028681539168439154,2026-01-31T00:00:00+00:00
2026-01-31T21:00:00+00:00,2026-02-01T03:00:00+06:00,0.030708912444753354,2026-01-31T00:00:00+00:00
2026-01-31T22:00:00+00:00,2026-02-01T04:00:00+06:00,0.03760837514543289,2026-01-31T00:00:00+00:00
2026-01-31T23:00:00+00:00,2026-02-01T05:00:00+06:00,0.02878038171718807,2026-01-31T00:00:00+00:00
2026-02-01T00:00:00+00:00,2026-02-01T06:00:00+06:00,0.07702573932364648,2026-02-01T00:00:00+00:00
2026-02-01T01:00:00+00:00,2026-02-01T07:00:00+06:00,0.07914199025517729,2026-02-01T00:00:00+00:00
2026-02-01T02:00:00+00:00,2026-02-01T08:00:00+06:00,0.10578530447689947,2026-02-01T00:00:00+00:00
2026-02-01T03:00:00+00:00,2026-02-01T09:00:00+06:00,0.09479937679018695,2026-02-01T00:00:00+00:00
2026-02-01T04:00:00+00:00,2026-02-01T10:00:00+06:00,0.11869991376685195,2026-02-01T00:00:00+00:00
2026-02-01T05:00:00+00:00,2026-02-01T11:00:00+06:00,0.10012000118451536,2026-02-01T00:00:00+00:00
2026-02-01T06:00:00+00:00,2026-02-01T12:00:00+06:00,0.1249464902718624,2026-02-01T00:00:00+00:00
2026-02-01T07:00:00+00:00,2026-02-01T13:00:00+06:00,0.18961334364872665,2026-02-01T00:00:00+00:00
2026-02-01T08:00:00+00:00,2026-02-01T14:00:00+06:00,0.25030929497645943,2026-02-01T00:00:00+00:00
2026-02-01T09:00:00+00:00,2026-02-01T15:00:00+06:00,0.22002563573464928,2026-02-01T00:00:00+00:00
2026-02-01T10:00:00+00:00,2026-02-01T16:00:00+06:00,0.21902199591429913,2026-02-01T00:00:00+00:00
2026-02-01T11:00:00+00:00,2026-02-01T17:00:00+06:00,0.19417836194523816,2026-02-01T00:00:00+00:00
2026-02-01T12:00:00+00:00,2026-02-01T18:00:00+06:00,0.20391520728821694,2026-02-01T00:00:00+00:00
2026-02-01T13:00:00+00:00,2026-02-01T19:00:00+06:00,0.22146254393253428,2026-02-01T00:00:00+00:00
2026-02-01T14:00:00+00:00,2026-02-01T20:00:00+06:00,0.2498109185762636,2026-02-01T00:00:00+00:00
2026-02-01T15:00:00+00:00,2026-02-01T21:00:00+06:00,0.2491647778572554,2026-02-01T00:00:00+00:00
2026-02-01T16:00:00+00:00,2026-02-01T22:00:00+06:00,0.3732001812320974,2026-02-01T00:00:00+00:00
2026-02-01T17:00:00+00:00,2026-02-01T23:00:00+06:00,0.33787431493026465,2026-02-01T00:00:00+00:00
2026-02-01T18:00:00+00:00,2026-02-02T00:00:00+06:00,0.31332236609819347,2026-02-01T00:00:00+00:00
2026-02-01T19:00:00+00:00,2026-02-02T01:00:00+06:00,0.37905398105242755,2026-02-01T00:00:00+00:00
2026-02-01T20:00:00+00:00,2026-02-02T02:00:00+06:00,0.43060452476496514,2026-02-01T00:00:00+00:00
2026-02-01T21:00:00+00:00,2026-02-02T03:00:00+06:00,0.5260457700934332,2026-02-01T00:00:00+00:00
